,price,size,os,ram,gprm,fp,Touch_or_not,wid,hgt,lvl,usb2,usb3,usbc,ethr,blth,modm,strtype,amst,ncrs,thrds,bc,mcl,pnm
0,39000,15.6,1781,4,0.128,0,0,1920,1080,3040,0,0,1,1,4.1,1,1,1024,4,8,3.0,4.0,14
1,35190,15.6,1781,4,0.128,1,0,1920,1080,3040,2,0,1,0,4.1,1,1,1024,4,8,3.0,4.0,14
2,59490,15.6,1781,8,0.128,0,0,1920,1080,5060,1,3,0,0,4.0,1,1,1024,4,8,2.4,4.5,14
3,57954,15.6,1781,8,0.128,0,0,1920,1080,5060,0,0,1,0,5.0,1,1,1024,6,12,3.9,4.9,14
4,27989,14.0,1781,4,0.128,0,0,1920,1080,2030,0,2,1,0,4.1,1,2,256,4,4,2.1,3.9,14
5,31990,15.6,1781,4,0.128,0,0,1366,768,3040,1,0,0,1,4.1,1,2,256,2,4,3.5,3.5,14
6,61490,14.0,1781,8,2.0,0,0,1920,1080,6070,0,0,0,0,5.0,1,2,512,4,8,2.4,4.5,14
7,66990,15.6,1781,8,2.0,0,0,1920,1080,6070,1,2,0,1,4.1,1,1,2048,4,8,1.6,4.1,14
8,30900,14.0,1781,4,0.128,0,0,1366,768,3040,1,0,0,1,4.2,1,1,1024,4,8,3.8,4.0,12
9,74990,14.0,1781,8,0.128,1,1,1920,1080,7080,0,0,0,1,5.0,1,2,512,8,16,2.2,5.0,14
10,70990,15.6,1781,8,4.0,0,0,1920,1080,7080,0,4,1,0,5.0,1,1,1024,4,8,2.4,4.5,14
11,69990,15.6,1781,8,4.0,1,0,1920,1080,6070,2,0,1,1,5.0,1,1,1024,8,16,2.2,5.0,14
12,43592,14.0,1781,8,0.128,0,0,1920,1080,4050,0,0,1,0,4.2,1,1,1024,4,8,3.0,4.0,14
13,30500,14.0,1781,4,0.128,0,0,1366,768,3040,1,2,0,1,4.2,1,1,1024,2,4,3.7,3.7,14
14,56488,14.0,1781,8,0.128,0,0,1920,1080,5060,1,0,1,1,5.0,1,1,1024,4,8,2.4,4.5,14
15,24983,14.0,49,4,0.128,0,0,1366,768,2030,0,0,2,0,5.0,1,2,64,8,8,1.9,2.8,10
16,38000,14.0,1781,4,0.128,0,0,1366,768,3040,1,2,0,1,4.1,1,1,1024,2,4,3.6,3.6,14
17,73990,13.3,1781,8,0.128,0,1,1920,1080,7080,0,0,1,0,5.0,1,2,512,6,12,3.7,4.2,7
18,75586,13.3,1781,8,0.128,0,0,1920,1080,7080,0,0,2,0,5.0,1,2,512,4,8,2.4,4.5,14
19,58390,14.0,1781,8,0.128,0,0,1920,1080,5060,0,0,1,1,5.0,1,1,1024,4,8,2.4,4.5,14
20,47692,14.0,1781,8,0.128,1,1,1920,1080,4050,0,0,1,1,5.0,1,2,256,8,8,1.9,2.8,10
21,62490,15.6,1781,8,2.0,0,0,1920,1080,6070,1,0,0,1,5.0,1,1,1024,6,12,3.9,4.9,14
22,45991,14.0,1781,8,0.128,0,0,1920,1080,4050,1,2,0,0,4.2,1,2,512,4,8,2.3,4.0,12
23,66250,14.0,1781,8,0.128,0,1,1920,1080,6070,0,0,1,0,4.2,1,2,512,4,8,2.4,4.5,14
24,29990,14.0,1781,4,0.128,0,0,1366,768,2030,1,0,0,1,4.2,1,1,1024,2,4,3.6,3.6,14
25,139990,15.6,1781,32,8.0,0,0,1920,1080,120140,0,0,1,1,5.0,1,1,1024,8,16,2.2,5.0,14
26,76290,15.6,1781,8,4.0,0,0,1920,1080,7080,0,0,1,1,5.0,1,1,1024,4,8,2.4,4.5,14
27,49990,15.6,1781,8,2.0,0,0,1920,1080,4050,2,1,0,1,4.0,1,1,1024,4,8,1.6,4.1,14
28,36490,15.6,1781,4,0.128,0,0,1920,1080,3040,1,0,0,0,4.1,1,1,1024,4,8,3.0,4.0,14
29,67990,15.6,1781,4,4.0,0,0,1920,1080,6070,1,1,0,1,5.0,1,2,512,6,12,3.7,4.2,7
30,72990,15.6,1781,8,4.0,0,0,1920,1080,7080,2,0,0,1,5.0,1,1,1024,4,8,2.4,4.5,14
31,58493,14.0,1781,8,0.128,0,0,1920,1080,5060,0,0,1,0,5.0,1,2,512,8,16,3.1,4.3,7
32,111900,13.3,23,8,0.128,1,0,2560,1600,100120,0,0,2,0,5.0,1,2,512,4,8,2.4,4.5,14
33,51990,15.6,1781,8,0.128,0,0,1920,1080,5060,1,0,0,0,5.0,1,1,1024,4,8,2.4,4.5,14
34,50990,14.0,1781,8,0.128,0,0,1920,1080,5060,0,0,1,1,5.0,1,2,512,6,12,3.9,4.9,14
35,23950,15.6,1781,4,0.128,0,0,1366,768,2030,2,1,0,0,4.1,1,1,1024,8,8,1.9,2.8,10
36,34485,15.6,1781,4,0.128,0,0,1920,1080,3040,1,0,0,0,5.0,1,1,1024,4,8,3.0,4.0,14
37,39990,15.6,1781,4,0.128,0,0,1920,1080,3040,1,0,0,1,4.0,1,2,512,4,8,3.0,4.0,14
38,38490,14.0,1781,4,0.128,0,0,1920,1080,3040,1,0,1,1,4.0,1,1,1024,4,8,3.0,4.0,14
39,31633,14.0,1781,4,0.128,0,0,1920,1080,3040,0,3,0,0,4.2,1,2,256,2,4,2.6,3.5,12
40,69999,15.6,1781,16,4.0,0,0,1920,1080,6070,0,0,0,1,5.0,1,1,1024,4,8,2.3,4.0,12
41,78990,15.6,1781,8,4.0,0,0,1920,1080,7080,1,2,0,0,4.2,1,1,1024,4,8,3.7,4.2,12
42,71590,15.6,1781,8,0.128,0,0,1920,1080,7080,1,0,0,0,5.0,1,2,512,4,8,2.4,4.5,14
43,36990,15.6,1781,8,0.128,0,0,1920,1080,3040,1,0,0,0,5.0,1,1,1024,4,8,3.0,4.0,14
44,41990,14.0,1781,8,0.128,0,0,1920,1080,4050,0,2,1,0,5.0,1,1,1024,4,8,3.0,4.0,14
45,42999,15.6,1781,4,0.128,0,0,1920,1080,4050,2,0,0,1,4.2,1,1,1024,4,8,2.4,4.5,14
46,34699,14.0,1781,4,0.128,0,0,1920,1080,3040,2,2,0,0,5.0,1,1,1024,4,8,3.0,4.0,14
47,89990,15.0,1781,8,0.128,0,1,1920,1080,8090,0,0,1,0,5.0,1,2,128,4,8,3.7,4.2,12
48,45695,15.6,1781,4,0.128,0,0,1920,1080,4050,1,0,0,0,5.0,1,1,1024,4,8,2.4,4.5,14
49,109900,13.3,23,8,0.128,1,0,2560,1600,100120,0,0,2,0,5.0,1,2,512,4,8,2.4,4.5,14
50,51147,15.6,1781,8,0.128,1,0,1920,1080,5060,0,1,1,0,4.1,1,1,1024,4,8,2.4,4.5,14
51,67392,15.6,1781,8,4.0,0,0,1920,1080,6070,0,0,1,1,5.0,1,1,1024,6,12,3.7,4.2,7
52,76490,15.6,1781,8,4.0,0,0,1920,1080,7080,1,0,0,1,4.2,1,1,1024,4,8,2.3,4.0,12
53,28489,15.6,1781,4,0.128,0,0,1920,1080,2030,1,0,0,0,5.0,1,1,1024,2,4,2.6,3.5,12
54,63287,14.0,1781,8,0.128,1,1,1920,1080,6070,0,0,1,1,5.0,1,2,512,6,12,3.9,4.9,14
55,24990,14.0,49,4,0.128,0,0,1366,768,2030,1,0,2,0,5.0,1,2,64,8,8,1.9,2.8,10
56,34490,14.0,120,4,0.128,0,0,1366,768,3040,1,2,0,1,4.0,1,1,1024,4,8,3.7,4.2,12
57,51190,14.0,1781,8,0.128,0,0,1366,768,5060,0,3,1,1,5.0,1,1,1024,4,8,2.4,4.5,14
58,66990,15.6,1781,8,4.0,1,0,1920,1080,6070,2,0,1,1,5.0,1,1,1024,4,8,2.4,4.5,14
59,37990,14.0,1781,8,0.128,0,0,1920,1080,3040,0,2,0,0,5.0,1,1,1024,4,8,1.6,4.1,14
60,89092,13.5,1781,8,0.128,0,1,1920,1080,8090,0,1,1,0,5.0,1,2,128,4,8,2.4,4.5,14
61,58793,15.6,1781,8,2.0,0,0,1920,1080,5060,0,2,1,0,4.0,1,1,1024,4,8,2.4,4.5,14
